"geo_id","geo_type","name","name_uk"
1,"region","Запорожская область","Запорізька область"
2,"region","Киевская область","Київська область"
3,"region","Хмельницкая область","Хмельницька область"
4,"region","Закарпатская область","Закарпатська область"
5,"region","Ровенская область","Рівненська область"
6,"region","Черниговская область","Чернігівська область"
7,"region","Кировоградская область","Кіровоградська область"
8,"region","Херсонская область","Херсонська область"
9,"region","Черкасская область","Черкаська область"
10,"region","Житомирская область","Житомирська область"
11,"region","Одесская область","Одеська область"
12,"region","Львовская область","Львівська область"
13,"region","Харьковская область","Харківська область"
14,"region","Волынская область","Волинська область"
15,"region","Полтавская область","Полтавська область"
16,"region","Николаевская область","Миколаївська область"
17,"region","Тернопольская область","Тернопільська область"
18,"region","Днепропетровская область","Дніпропетровська область"
19,"region","Крым","Крим"
20,"region","Черновицкая область","Чернівецька область"
21,"region","Луганская область","Луганська область"
22,"region","Донецкая область","Донецька область"
23,"region","Сумская область","Сумська область"
24,"region","Ивано-Франковская область","Івано-Франківська область"
25,"region","Винницкая область","Вінницька область"
32,"raion","Сумская область, Путивльский район","Сумська область, Путивльський район"
33,"raion","Донецкая область, Бахмутский (Артёмовский) район","Донецька область, Бахмутський (Артемівський) район"
34,"raion","Львовская область, Сколевский район","Львівська область, Сколівський район"
35,"raion","Днепропетровская область, Днепропетровский район","Дніпропетровська область, Дніпропетровський район"
36,"raion","Херсонская область, Высокопольский район","Херсонська область, Високопільський район"
37,"raion","Житомирская область, Малинский район","Житомирська область, Малинський район"
38,"raion","Черниговская область, Черниговский район","Чернігівська область, Чернігівський район"
39,"raion","Харьковская область, Красноградский район","Харківська область, Красноградський район"
40,"raion","Винницкая область, Тепликский район","Вінницька область, Теплицький район"
41,"raion","Волынская область, Рожищенский район","Волинська область, Рожищенський район"
42,"raion","Луганская область, Троицкий район","Луганська область, Троїцький район"
43,"raion","Кировоградская область, Голованевский район","Кіровоградська область, Голованівський район"
44,"raion","Винницкая область, Ильинецкий район","Вінницька область, Іллінецький район"
45,"raion","Донецкая область, Великоновоселковский район","Донецька область, Великоновосілківський район"
46,"raion","Одесская область, Фрунзовский район","Одеська область, Фрунзівський район"
47,"raion","Ивано-Франковская область, Коломыйский район","Івано-Франківська область, Коломийський район"
48,"raion","Хмельницкая область, Староконстантиновский район","Хмельницька область, Старокостянтинівський район"
49,"raion","Полтавская область, Пирятинский район","Полтавська область, Пирятинський район"
50,"raion","Запорожская область, Каменско-Днепровский район","Запорізька область, Кам'янсько-Дніпровський район"
51,"raion","Житомирская область, Емильчинский район","Житомирська область, Ємільчинський район"
52,"raion","Одесская область, Килийский район","Одеська область, Кілійський район"
53,"raion","Винницкая область, Казатинский район","Вінницька область, Козятинський район"
54,"raion","Харьковская область, Золочевский район","Харківська область, Золочівський район"
55,"raion","Волынская область, Иваничевский район","Волинська область, Іваничівський район"
56,"raion","Одесская область, Татарбунарский район","Одеська область, Татарбунарський район"
57,"raion","Крым, Ленинский район","Крим, Ленінський район"
58,"raion","Одесская область, Ширяевский район","Одеська область, Ширяївський район"
59,"raion","Днепропетровская область, Межевский район","Дніпропетровська область, Межівський район"
60,"raion","Николаевская область, Кривоозерский район","Миколаївська область, Кривоозерський район"
61,"raion","Ивано-Франковская область, Тысменицкий район","Івано-Франківська область, Тисменицький район"
62,"raion","Черниговская область, Талалаевский район","Чернігівська область, Талалаївський район"
63,"raion","Харьковская область, Харьковский район","Харківська область, Харківський район"
64,"raion","Черкасская область, Шполянский район","Черкаська область, Шполянський район"
65,"raion","Ивано-Франковская область, Снятынский район","Івано-Франківська область, Снятинський район"
66,"raion","Львовская область, Турковский район","Львівська область, Турківський район"
67,"raion","Запорожская область, Васильевский район","Запорізька область, Василівський район"
68,"raion","Хмельницкая область, Деражнянский район","Хмельницька область, Деражнянський район"
69,"raion","Черновицкая область, Кельменецкий район","Чернівецька область, Кельменецький район"
70,"raion","Крым, Симферопольский район","Крим, Сімферопольський район"
71,"raion","Житомирская область, Барановский район","Житомирська область, Баранівський район"
72,"raion","Харьковская область, Чугуевский район","Харківська область, Чугуївський район"
73,"raion","Харьковская область, Барвенковский район","Харківська область, Барвінківський район"
74,"raion","Запорожская область, Приазовский район","Запорізька область, Приазовський район"
75,"raion","Ивано-Франковская область, Рожнятовский район","Івано-Франківська область, Рожнятівський район"
76,"raion","Ровенская область, Демидовский район","Рівненська область, Демидівський район"
77,"raion","Львовская область, Перемышлянский район","Львівська область, Перемишлянський район"
78,"raion","Полтавская область, Лохвицкий район","Полтавська область, Лохвицький район"
79,"raion","Львовская область, Самборский район","Львівська область, Самбірський район"
80,"raion","Черниговская область, Бобровицкий район","Чернігівська область, Бобровицький район"
81,"raion","Ровенская область, Дубровицкий район","Рівненська область, Дубровицький район"
82,"raion","Донецкая область, Покровский (Красноармейский) район","Донецька область, Покровський (Красноармійський) район"
83,"raion","Донецкая область, Никольский (Володарский) район","Донецька область, Нікольський (Володарський)район"
84,"raion","Сумская область, Конотопский район","Сумська область, Конотопський район"
85,"raion","Одесская область, Измаильский район","Одеська область, Ізмаїльський район"
86,"raion","Черновицкая область, Глыбокский район","Чернівецька область, Глибоцький район"
87,"raion","Сумская область, Краснопольский район","Сумська область, Краснопільський район"
88,"raion","Львовская область, Каменка-Бугский район","Львівська область, Кам'янсько-Бузький район"
89,"raion","Ивано-Франковская область, Тлумачский район","Івано-Франківська область, Тлумацький район"
90,"raion","Ивано-Франковская область, Богородчанский район","Івано-Франківська область, Богородчанський район"
91,"raion","Черкасская область, Золотоношский район","Черкаська область, Золотоніський район"
92,"raion","Киевская область, Васильковский район","Київська область, Васильківський район"
93,"raion","Запорожская область, Ореховский район","Запорізька область, Оріхівський район"
94,"raion","Донецкая область, Тельмановский район","Донецька область, Тельманівський район"
95,"raion","Запорожская область, Гуляйпольский район","Запорізька область, Гуляйпільський район"
96,"raion","Черновицкая область, Сокирянский район","Чернівецька область, Сокирянський район"
97,"raion","Волынская область, Владимир-Волынский район","Волинська область, Володимир-Волинський район"
98,"raion","Луганская область, Краснодонский район","Луганська область, Краснодонський район"
99,"raion","Сумская область, Белопольский район","Сумська область, Білопільський район"
100,"raion","Кировоградская область, Гайворонский район","Кіровоградська область, Гайворонський район"
101,"raion","Запорожская область, Акимовский район","Запорізька область, Якимівський район"
102,"raion","Закарпатская область, Иршавский район","Закарпатська область, Іршавський район"
103,"raion","Полтавская область, Кобелякский район","Полтавська область, Кобеляцький район"
104,"raion","Кировоградская область, Александрийский район","Кіровоградська область, Олександрійський район"
105,"raion","Ивано-Франковская область, Рогатинский район","Івано-Франківська область, Рогатинський район"
106,"raion","Херсонская область, Бериславский район","Херсонська область, Бериславський район"
107,"raion","Сумская область, Глуховский район","Сумська область, Глухівський район"
108,"raion","Днепропетровская область, Покровский район","Дніпропетровська область, Покровський район"
109,"raion","Николаевская область, Еланецкий район","Миколаївська область, Єланецький район"
110,"raion","Хмельницкая область, Чемеровецкий район","Хмельницька область, Чемеровецький район"
111,"raion","Львовская область, Пустомытовский район","Львівська область, Пустомитівський район"
112,"raion","Хмельницкая область, Шепетовский район","Хмельницька область, Шепетівський район"
113,"raion","Полтавская область, Великобагачанский район","Полтавська область, Великобагачанський район"
114,"raion","Харьковская область, Волчанский район","Харківська область, Вовчанський район"
115,"raion","Кировоградская область, Маловисковский район","Кіровоградська область, Маловисківський район"
116,"raion","Черкасская область, Каменский район","Черкаська область, Кам'янський район"
117,"raion","Харьковская область, Коломакский район","Харківська область, Коломацький район"
118,"raion","Закарпатская область, Мукачевский район","Закарпатська область, Мукачівський район"
