"geo_id","geo_type","name","name_uk"
1,"region","Запорожская область","Запорізька область"
2,"region","Киевская область","Київська область"
3,"region","Хмельницкая область","Хмельницька область"
4,"region","Закарпатская область","Закарпатська область"
5,"region","Ровенская область","Рівненська область"
6,"region","Черниговская область","Чернігівська область"
7,"region","Кировоградская область","Кіровоградська область"
8,"region","Херсонская область","Херсонська область"
9,"region","Черкасская область","Черкаська область"
10,"region","Житомирская область","Житомирська область"
11,"region","Одесская область","Одеська область"
12,"region","Львовская область","Львівська область"
13,"region","Харьковская область","Харківська область"
14,"region","Волынская область","Волинська область"
15,"region","Полтавская область","Полтавська область"
16,"region","Николаевская область","Миколаївська область"
17,"region","Тернопольская область","Тернопільська область"
18,"region","Днепропетровская область","Дніпропетровська область"
19,"region","Крым","Крим"
20,"region","Черновицкая область","Чернівецька область"
21,"region","Луганская область","Луганська область"
22,"region","Донецкая область","Донецька область"
23,"region","Сумская область","Сумська область"
24,"region","Ивано-Франковская область","Івано-Франківська область"
25,"region","Винницкая область","Вінницька область"
63,"raion","Харьковская область, Харьковский район","Харківська область, Харківський район"
130,"raion","Киевская область, Переяслав-Хмельницкий район","Київська область, Переяслав-Хмельницький район"
428,"raion","Харьковская область, Боровский район","Харківська область, Борівський район"
82,"raion","Донецкая область, Покровский (Красноармейский) район","Донецька область, Покровський (Красноармійський) район"
98,"raion","Луганская область, Краснодонский район","Луганська область, Краснодонський район"
33,"raion","Донецкая область, Бахмутский (Артёмовский) район","Донецька область, Бахмутський (Артемівський) район"
264,"raion","Николаевская область, Первомайский район","Миколаївська область, Первомайський район"
3765,"city","Днепропетровская область, Васильковский район, село Зеленая Роща","Дніпропетровська область, Васильківський район, село Зелена Роща"
5370,"city","Хмельницкая область, Виньковецкий район, село Майдан-Александровский","Хмельницька область, Віньковецький район, село Майдан-Олександрівський"
2939,"city","Волынская область, Иваничевский район, село Бужанка","Волинська область, Іваничівський район, село Бужанка"
5198,"city","Киевская область, Белоцерковский район, село Вербовая","Київська область, Білоцерківський район, село Вербова"
5532,"city","Кировоградская область, Долинский район, село Новомихайловка","Кіровоградська область, Долинський район, село Новомихайлівка"
1600,"city","Черниговская область, Нежинский район, село Заньки","Чернігівська область, Ніжинський район, село Заньки"
8760,"district","Крым, Севастополь, Балаклавский район","Крим, Севастополь, Балаклавський район"
8825,"district","Днепропетровская область, Днепр (Днепропетровск), Центральный (Кировский) район","Дніпропетровська область, Дніпро (Дніпропетровськ), Центральний район"
8824,"district","Луганская область, Луганск, Ленинский район","Луганська область, Луганськ, Ленінський район"
8740,"district","Черновицкая область, Черновцы, Первомайский район","Чернівецька область, Чернівці, Першотравневий район"
8784,"district","Житомирская область, Житомир, Богунский район","Житомирська область, Житомир, Богунський район"
8765,"district","Харьковская область, Харьков, Киевский район","Харківська область, Харків, Київський район"
8783,"district","Киевская область, Киев, Голосеевский район","Київська область, Київ, Голосіївський район"
8954,"microdistrict","Хмельницкая область, Хмельницкий, Новый план","Хмельницька область, Хмельницький, Новий план"
8944,"microdistrict","Запорожская область, Запорожье, 2-й Шевченковский","Запорізька область, Запоріжжя, 2-й Шевченківський"
9086,"microdistrict","Закарпатская область, Ужгород, Шахта","Закарпатська область, Ужгород, Шахта"
9023,"microdistrict","Черкасская область, Черкассы, ЮЗР","Черкаська область, Черкаси, ПЗР"
9091,"microdistrict","Донецкая область, Донецк, Солнечный","Донецька область, Донецьк, Сонячний"
9327,"microdistrict","Житомирская область, Житомир, Кокарчанка","Житомирська область, Житомир, Кокарчанка"
10852,"street","Волынская область, Луцк, улица Наталии Ужвий (Белинского)","Волинська область, Луцьк, вулиця Наталії Ужвій"
14044,"street","Николаевская область, Николаев, Центральный район, улица Лесная","Миколаївська область, Миколаїв, Центральний район, вулиця Лісова"
10183,"street","Ивано-Франковская область, Ивано-Франковск, улица Шота Руставели","Івано-Франківська область, Івано-Франківськ, вулиця Шота Руставелі"
14112,"street","Днепропетровская область, Днепр (Днепропетровск), Индустриальный район, улица Саратовская","Дніпропетровська область, Дніпро (Дніпропетровськ), Індустріальний район, вулиця Саратовська"
13515,"street","Киевская область, Киев, Дарницкий район, улица Константина Арефьева","Київська область, Київ, Дарницький район, вулиця Костянтина Ареф'єва"
10181,"street","Крым, Севастополь, Гагаринский район, улица Крупской","Крим, Севастополь, Гагарінський район, вулиця Крупської"
37482,"address","Львовская область, Львов, Железнодорожный район, улица Широкая, 3/5ц","Львівська область, Львів, Залізничний район, вулиця Широка, 3/5ц"
36377,"address","Донецкая область, Донецк, Калининский район, улица Владычанского, 52","Донецька область, Донецьк, Калінінський район, вулиця Владичанського, 52"
25461,"address","Одесская область, Одесса, Приморский район, Шампанский переулок, 56","Одеська область, Одеса, Приморський район, Шампанський провулок, 56"
20759,"address","Днепропетровская область, Днепр (Днепропетровск), Соборный (Жовтневый) район, улица Ивана Акинфиева, 7","Дніпропетровська область, Дніпро (Дніпропетровськ), Соборний район, вулиця Івана Акінфієва, 7"
30252,"address","Киевская область, Киев, Оболонский район, улица Богатырская, 148/9","Київська область, Київ, Оболонський район, вулиця Богатирська, 148/9"
27566,"address","Одесская область, Одесса, Киевский район, улица Дмитрия Донского, 210","Одеська область, Одеса, Київський район, вулиця Дмитра Донського, 210"
27577,"address","Харьковская область, Харьков, улица Пушкинская, 50","Харківська область, Харків, вулиця Пушкінська, 50"
30311,"address","Одесская область, Одесса, Приморский район, Воронцовский переулок, 160к","Одеська область, Одеса, Приморський район, Воронцовський провулок, 160к"
34074,"address","Киевская область, Киев, Шевченковский район, улица Дегтяревская, 32","Київська область, Київ, Шевченківський район, вулиця Дегтярівська, 32"
18422,"address","Киевская область, Киев, улица 65-я Садовая, 3","Київська область, Київ, вулиця 65-та Садова, 3"
37515,"address","Днепропетровская область, Днепр (Днепропетровск), Индустриальный район, улица Богдана Хмельницкого, 34","Дніпропетровська область, Дніпро (Дніпропетровськ), Індустріальний район, вулиця Богдана Хмельницького, 34"
