"geo_id","geo_parent_id","geo_type","name","name_uk"
1,"","region","Запорожская область","Запорізька область"
2,"","region","Киевская область","Київська область"
3,"","region","Хмельницкая область","Хмельницька область"
4,"","region","Закарпатская область","Закарпатська область"
5,"","region","Ровенская область","Рівненська область"
6,"","region","Черниговская область","Чернігівська область"
7,"","region","Кировоградская область","Кіровоградська область"
8,"","region","Херсонская область","Херсонська область"
9,"","region","Черкасская область","Черкаська область"
10,"","region","Житомирская область","Житомирська область"
11,"","region","Одесская область","Одеська область"
12,"","region","Львовская область","Львівська область"
13,"","region","Харьковская область","Харківська область"
14,"","region","Волынская область","Волинська область"
15,"","region","Полтавская область","Полтавська область"
16,"","region","Николаевская область","Миколаївська область"
17,"","region","Тернопольская область","Тернопільська область"
18,"","region","Днепропетровская область","Дніпропетровська область"
19,"","region","Крым","Крим"
20,"","region","Черновицкая область","Чернівецька область"
21,"","region","Луганская область","Луганська область"
22,"","region","Донецкая область","Донецька область"
23,"","region","Сумская область","Сумська область"
24,"","region","Ивано-Франковская область","Івано-Франківська область"
25,"","region","Винницкая область","Вінницька область"
32,23,"raion","Путивльский район","Путивльський район"
33,22,"raion","Бахмутский район (Артёмовский)","Бахмутський район (Артемівський)"
34,12,"raion","Сколевский район","Сколівський район"
35,18,"raion","Днепропетровский район","Дніпропетровський район"
36,8,"raion","Высокопольский район","Високопільський район"
37,10,"raion","Малинский район","Малинський район"
38,6,"raion","Черниговский район","Чернігівський район"
39,13,"raion","Красноградский район","Красноградський район"
40,25,"raion","Тепликский район","Теплицький район"
41,14,"raion","Рожищенский район","Рожищенський район"
42,21,"raion","Троицкий район","Троїцький район"
43,7,"raion","Голованевский район","Голованівський район"
44,25,"raion","Ильинецкий район","Іллінецький район"
45,22,"raion","Великоновоселковский район","Великоновосілківський район"
46,11,"raion","Фрунзовский район","Фрунзівський район"
47,24,"raion","Коломыйский район","Коломийський район"
48,3,"raion","Староконстантиновский район","Старокостянтинівський район"
49,15,"raion","Пирятинский район","Пирятинський район"
50,1,"raion","Каменско-Днепровский район","Кам'янсько-Дніпровський район"
51,10,"raion","Емильчинский район","Ємільчинський район"
52,11,"raion","Килийский район","Кілійський район"
53,25,"raion","Казатинский район","Козятинський район"
54,13,"raion","Золочевский район","Золочівський район"
55,14,"raion","Иваничевский район","Іваничівський район"
56,11,"raion","Татарбунарский район","Татарбунарський район"
57,19,"raion","Ленинский район","Ленінський район"
58,11,"raion","Ширяевский район","Ширяївський район"
59,18,"raion","Межевский район","Межівський район"
60,16,"raion","Кривоозерский район","Кривоозерський район"
61,24,"raion","Тысменицкий район","Тисменицький район"
62,6,"raion","Талалаевский район","Талалаївський район"
63,13,"raion","Харьковский район","Харківський район"
64,9,"raion","Шполянский район","Шполянський район"
65,24,"raion","Снятынский район","Снятинський район"
66,12,"raion","Турковский район","Турківський район"
67,1,"raion","Васильевский район","Василівський район"
68,3,"raion","Деражнянский район","Деражнянський район"
69,20,"raion","Кельменецкий район","Кельменецький район"
70,19,"raion","Симферопольский район","Сімферопольський район"
71,10,"raion","Барановский район","Баранівський район"
72,13,"raion","Чугуевский район","Чугуївський район"
73,13,"raion","Барвенковский район","Барвінківський район"
74,1,"raion","Приазовский район","Приазовський район"
75,24,"raion","Рожнятовский район","Рожнятівський район"
76,5,"raion","Демидовский район","Демидівський район"
77,12,"raion","Перемышлянский район","Перемишлянський район"
78,15,"raion","Лохвицкий район","Лохвицький район"
79,12,"raion","Самборский район","Самбірський район"
80,6,"raion","Бобровицкий район","Бобровицький район"
81,5,"raion","Дубровицкий район","Дубровицький район"
82,22,"raion","Покровский район (Красноармейский)","Покровський район (Красноармійський)"
83,22,"raion","Никольский район (Володарский)","Нікольський район (Володарський)"
84,23,"raion","Конотопский район","Конотопський район"
85,11,"raion","Измаильский район","Ізмаїльський район"
86,20,"raion","Глыбокский район","Глибоцький район"
87,23,"raion","Краснопольский район","Краснопільський район"
88,12,"raion","Каменка-Бугский район","Кам'янсько-Бузький район"
89,24,"raion","Тлумачский район","Тлумацький район"
90,24,"raion","Богородчанский район","Богородчанський район"
91,9,"raion","Золотоношский район","Золотоніський район"
92,2,"raion","Васильковский район","Васильківський район"
93,1,"raion","Ореховский район","Оріхівський район"
94,22,"raion","Тельмановский район","Тельманівський район"
95,1,"raion","Гуляйпольский район","Гуляйпільський район"
96,20,"raion","Сокирянский район","Сокирянський район"
97,14,"raion","Владимир-Волынский район","Володимир-Волинський район"
98,21,"raion","Краснодонский район","Краснодонський район"
99,23,"raion","Белопольский район","Білопільський район"
100,7,"raion","Гайворонский район","Гайворонський район"
101,1,"raion","Акимовский район","Якимівський район"
102,4,"raion","Иршавский район","Іршавський район"
103,15,"raion","Кобелякский район","Кобеляцький район"
104,7,"raion","Александрийский район","Олександрійський район"
105,24,"raion","Рогатинский район","Рогатинський район"
106,8,"raion","Бериславский район","Бериславський район"
107,23,"raion","Глуховский район","Глухівський район"
108,18,"raion","Покровский район","Покровський район"
109,16,"raion","Еланецкий район","Єланецький район"
110,3,"raion","Чемеровецкий район","Чемеровецький район"
111,12,"raion","Пустомытовский район","Пустомитівський район"
112,3,"raion","Шепетовский район","Шепетівський район"
113,15,"raion","Великобагачанский район","Великобагачанський район"
114,13,"raion","Волчанский район","Вовчанський район"
115,7,"raion","Маловисковский район","Маловисківський район"
116,9,"raion","Каменский район","Кам'янський район"
117,13,"raion","Коломакский район","Коломацький район"
118,4,"raion","Мукачевский район","Мукачівський район"
119,14,"raion","Камень-Каширский район","Камінь-Каширський район"
120,12,"raion","Жолковский район","Жовківський район"
121,10,"raion","Коростенский район","Коростенський район"
122,1,"raion","Веселовский район","Веселівський район"
123,21,"raion","Старобельский район","Старобільський район"
124,8,"raion","Великолепетихский район","Великолепетиський район"
125,16,"raion","Витовский район (Жовтневый)","Вітовський район (Жовтневий)"
126,24,"raion","Верховинский район","Верховинський район"
127,17,"raion","Лановецкий район","Лановецький район"
128,1,"raion","Черниговский район","Чернігівський район"
129,11,"raion","Любашевский район","Любашівський район"
130,2,"raion","Переяслав-Хмельницкий район","Переяслав-Хмельницький район"
131,4,"raion","Раховский район","Рахівський район"
132,13,"raion","Изюмский район","Ізюмський район"
133,5,"raion","Радивиловский район","Радивилівський район"
134,10,"raion","Олевский район","Олевський район"
135,3,"raion","Хмельницкий район","Хмельницький район"
136,8,"raion","Великоалександровский район","Великоолександрівський район"
137,23,"raion","Великописаревский район","Великописарівський район"
138,24,"raion","Надворнянский район","Надвірнянський район"
139,8,"raion","Нижнесерогозский район","Нижньосірогозький район"
140,22,"raion","Славянский район","Слов'янський район"
141,18,"raion","Верхнеднепровский район","Верхньодніпровський район"
142,17,"raion","Теребовлянский район","Теребовлянський район"
143,10,"raion","Овручский район","Овруцький район"
144,10,"raion","Лугинский район","Лугинський район"
145,22,"raion","Волновахский район","Волноваський район"
146,23,"raion","Кролевецкий район","Кролевецький район"
147,3,"raion","Полонский район","Полонський район"
148,25,"raion","Бершадский район","Бершадський район"
149,19,"raion","Черноморский район","Чорноморський район"
150,10,"raion","Романовский район","Романівський район"
151,7,"raion","Онуфриевский район","Онуфріївський район"
152,3,"raion","Белогорский район","Білогірський район"
153,21,"raion","Беловодский район","Біловодський район"
154,11,"raion","Ренийский район","Ренійський район"
155,8,"raion","Чаплинский район","Чаплинський район"
156,9,"raion","Корсунь-Шевченковский район","Корсунь-Шевченківський район"
157,25,"raion","Погребищенский район","Погребищенський район"
158,17,"raion","Гусятинский район","Гусятинський район"
159,21,"raion","Меловский район","Міловський район"
160,9,"raion","Черкасский район","Черкаський район"
